number,forum,title,abstract,num Reviewers,num submitted Reviewers,missing Reviewers,min rating,max rating,average rating,min confidence,max confidence,average confidence,num Area Chairs assigned,num submitted Area Chairs,Meta Review,decision,Senior Area Chairs
43,https://openreview.net/forum?id=DY6jWum4Oh,Split Matching for Inductive Zero-shot Semantic Segmentation,"Zero-shot Semantic Segmentation (ZSS) targets the segmentation of unseen classes, i.e., classes not annotated during training. While fine-tuned vision-language models show promise, they often overfit to seen classes due to the lack of supervision. Query-based methods offer strong potential by enabling object localization without explicit labels, but conventional approaches assume full supervision and thus tend to misclassify unseen classes as background in ZSS settings. To address this issue, we propose Split Matching (SM), a novel assignment strategy that decouples Hungarian matching into two components: one for seen classes in annotated regions and another for latent classes in unannotated regions (referred to as unseen candidates). Specifically, we split the queries into seen and candidate queries, enabling each to be optimized independently according to its available supervision. To discover unseen candidates, we cluster CLIP dense features to generate pseudo masks and extract region-level embeddings using CLS tokens. Matching is then conducted separately for the two groups based on both class and mask similarity. Additionally, we introduce a Multi-scale Feature Enhancement (MFE) module that refines decoder features through residual multi-scale aggregation, improving the model’s ability to capture spatial details across resolutions. Besides, we also introduce a Random Query (RQ) strategy to further enhance the performance after training. Our method is the first to introduce decoupled Hungarian matching under the inductive ZSS setting, and achieves 0.8% and 1.1% higher hIoU on two ZSS benchmarks.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jefersson A Dos Santos
55,https://openreview.net/forum?id=ONcVfk8Yqe,Piezoelectric Acoustic Sensing for Sitting Pose Classification,"Recognizing human poses, particularly under seated conditions, has become increasingly important due to the widespread adoption of remote work and teleconferencing. In this study, we present the first attempt to classify sitting poses using active acoustic sensing based on contact-type piezoelectric devices attached to a chair. Our framework analyzes multi-channel acoustic responses of known sweep signals transmitted through the chair and the seated body and captured by a piezoelectric microphone array. To enhance classification performance, we introduce two learning techniques tailored to this setting. Specifically, we introduce ChannelSwap (CS), a data augmentation method that leverages the geometric symmetry of the sensing system, and Symmetric Consistency Enhancement (SCE), a learning strategy designed to compensate for real-world symmetry deviations. Experiments on real sound data demonstrate that our method improves classification accuracy by 3.6\% compared to standard baselines, validating the feasibility and effectiveness of piezoelectric acoustic sensing for sitting pose classification.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Edmond S. L. Ho
56,https://openreview.net/forum?id=IIygL1vdWx,Pointly-Supervised Weak-Shot Semantic Segmentation via Dual Mapping Transfer,"Despite the existing large-scale datasets with full annotations, semantic segmentation still suffers from high annotation cost when extending to novel classes. One learning paradigm to relieve such annotation burden is weak-shot semantic segmentation, which jointly uses full annotations for base classes and weak annotations (image-level labels) for novel classes. In this work, we follow the weak-shot learning paradigm, but use more informative point-level annotations for novel classes. Our method is built upon query-based segmentation network, which learns a query-to-mask mapping. With annotated points (keypoints), we additionally learn a keypoint-to-mask mapping. Both mappings are transferable from base classes to novel classes. Moreover, the latter mapping could help the former mapping when learning to segment novel classes. Besides, we design a confident memory bank to alleviate the ambiguity of novel classes. Extensive experiments on COCO-Stuff-10K and ADE20K datasets show the superiority of our method.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jefersson A Dos Santos
59,https://openreview.net/forum?id=gXFNLsnaDw,CMAMRNet: A Contextual Mask-Aware Network Enhancing Mural Restoration Through Comprehensive Mask Guidance,"Murals, as invaluable cultural artifacts, face continuous deterioration from environmental factors and human activities. Digital restoration of murals faces unique challenges due to their complex degradation patterns and the critical need to preserve artistic authenticity. Existing learning-based methods struggle with maintaining consistent mask guidance throughout their networks, leading to insufficient focus on damaged regions and compromised restoration quality. We propose CMAMRNet, a Contextual Mask-Aware Mural Restoration Network that addresses these limitations through comprehensive mask guidance and multi-scale feature extraction. Our framework introduces two key component: (1) the Mask-Aware Up/Down-Sampler (MAUDS), which ensures consistent mask sensitivity across resolution scales through dedicated channel-wise feature selection and mask-guided feature fusion; and (2) the Co-Feature Aggregator (CFA), operating at both the highest and lowest resolutions to extract complementary features for capturing fine textures and global structures in degraded regions. Experimental results on benchmark datasets demonstrate that CMAMRNet outperforms state-of-the-art methods, effectively preserving both structural integrity and artistic details in restored murals.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
66,https://openreview.net/forum?id=n4w6qhuRSR,ST-GDance: Long-Term and Collision-Free Group Choreography from Music,"Group dance generation from music has broad applications in film, gaming, and animation production. However, it requires synchronizing multiple dancers while maintaining spatial coordination. As the number of dancers and sequence length increase, this task faces higher computational complexity and a greater risk of motion collisions. Existing methods often struggle to model dense spatial-temporal interactions, leading to scalability issues and multi-dancer collisions. To address these challenges, we propose ST-GDance, a novel framework that decouples spatial and temporal dependencies to optimize long-term and collision-free group choreography. We employ lightweight graph convolutions for distance-aware spatial modeling and accelerated sparse attention for efficient temporal modeling. This design significantly reduces computational costs while ensuring smooth and collision-free interactions. Experiments on the AIOZ-GDance dataset demonstrate that ST-GDance outperforms state-of-the-art baselines, particularly in generating long and coherent group dance sequences. The code will be released upon paper acceptance.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Oral),Accept,Edmond S. L. Ho
69,https://openreview.net/forum?id=U7lEKveycG,TACTFL: Temporal Contrastive Training for Multi-modal Federated Learning with Similarity-guided Model Aggregation,"Real-world federated learning faces two key challenges: limited access to labelled data and the presence of heterogeneous multi-modal inputs. This paper proposes TACTFL, a unified framework for semi-supervised multi-modal federated learning. TACTFL introduces a novel temporal contrastive training scheme that learns modality-agnostic representations from unlabelled client data by leveraging temporal alignment across modalities. However, as clients perform self-supervised training on heterogeneous data, local models may diverge semantically. To mitigate this, TACTFL incorporates a similarity-guided model aggregation strategy that dynamically weights client models based on their representational consistency, promoting global alignment. Extensive experiments across diverse benchmarks and modalities, including video, audio, and wearable sensors, demonstrate that TACTFL achieves state-of-the-art performance. For instance, on the UCF101 dataset with only 10\% labelled data, TACTFL attains 68.48\% top-1 accuracy, significantly outperforming the FedOpt baseline of 35.35\%. Code will be released upon publication.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Zhixiang Chen
77,https://openreview.net/forum?id=NF4wr4u9rb,Training-Free Synthetic Data Generation with Dual IP-Adapter Guidance,"Few-shot image classification remains challenging due to the limited availability of labeled examples. Recent approaches have explored generating synthetic training data using text-to-image diffusion models, but often require extensive model fine-tuning or external information sources. We present a novel training-free approach, called DIPSY, that leverages IP-Adapter for image-to-image translation to generate highly discriminative synthetic images using only the available few-shot examples. DIPSY introduces three key innovations: (1) an extended classifier-free guidance scheme that enables independent control over positive and negative image conditioning; (2) a class similarity-based sampling strategy that identifies effective contrastive examples; and (3) a simple yet effective pipeline that requires no model fine-tuning or external captioning and filtering. Experiments across ten benchmark datasets demonstrate that our approach achieves state-of-the-art or comparable performance, while eliminating the need for generative model adaptation or reliance on external tools for caption generation and image filtering.
Our results highlight the effectiveness of leveraging *dual image prompting* with positive-negative guidance for generating class-discriminative features, particularly for fine-grained classification tasks.",7,4,~Salehe_Erfanian_Ebadi1|~S._Alireza_Golestaneh2|~Rainer_Stiefelhagen1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Zhixiang Chen
81,https://openreview.net/forum?id=uvOAJO1VaV,SSNeRF: Sparse View Semi-supervised Neural Radiance Fields with Augmentation,"Sparse-view NeRF is challenging because limited input images lead to an under-constrained optimization problem for volume rendering. Existing methods address this issue by relying on supplementary information, such as depth maps. However, generating this supplementary information accurately remains problematic and often leads to NeRF producing images with undesired artifacts.
To address artifacts and enhance robustness, we propose SSNeRF, a semi-supervised sparse-view NeRF framework based on a teacher-student paradigm. In this framework, the student NeRF is challenged by severe sparse-view degradation while being guided by rectified high-confidence pseudo-labels from the teacher NeRF.
Our sparse-view-specific degradations include injecting designed noise into volume rendering weights, perturbing vulnerable layers, and simulating sparse-view blurriness. These techniques together force the student NeRF to recognize degradation caused by sparse-view training data, ultimately helping the model effectively handle the noise and incomplete information inherent in sparse views.
Extensive experiments demonstrate the effectiveness of our SSNeRF in generating novel views with less sparse-view degradation. We will release code upon acceptance.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
83,https://openreview.net/forum?id=cG85S9RNPE,RPD-Diff: Region-Adaptive Physics-Guided Diffusion Model for Visibility Enhancement under Dense and Non-Uniform Haze,"Single-image dehazing under dense and non-uniform haze conditions remains challenging due to severe information degradation and spatial heterogeneity. Traditional diffusion-based dehazing methods struggle with insufficient generation conditioning and lack of adaptability to spatially varying haze distributions, which leads to suboptimal restoration. To address these limitations, we propose RPD-Diff, a Region-adaptive Physics-guided Dehazing Diffusion Model for robust visibility enhancement in complex haze scenarios. RPD-Diff introduces a Physics-guided Intermediate State Targeting (PIST) strategy, which leverages physical priors to reformulate the diffusion Markov chain by generation target transitions, mitigating the issue of insufficient conditioning in dense haze scenarios. Additionally, the Haze-Aware Denoising Timestep Predictor (HADTP) dynamically adjusts patch-specific denoising timesteps employing a transmission map cross-attention mechanism, adeptly managing non-uniform haze distributions. Extensive experiments across four real-world datasets demonstrate that RPD-Diff achieves state-of-the-art performance in challenging dense and non-uniform haze scenarios, delivering high-quality, haze-free images with superior detail clarity and color fidelity.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
84,https://openreview.net/forum?id=b2LyC20XCz,Continual Vision-and-Language Navigation,"Developing Vision-and-Language Navigation (VLN) agents typically assumes a \textit{train-once-deploy-once} strategy, which is unrealistic as deployed agents continually encounter novel environments. To address this, we propose the Continual Vision-and-Language Navigation (CVLN) paradigm, where agents learn and adapt incrementally across multiple \textit{scene domains}. CVLN includes two setups: Initial-instruction based CVLN for instruction-following, and Dialogue-based CVLN for dialogue-guided navigation. We also introduce two simple yet effective baselines for sequential decision-making: Perplexity Replay (PerpR), which replays difficult episodes, and Episodic Self-Replay (ESR), which stores and revisits action logits during training. Experiments show that existing continual learning methods fall short for CVLN, while PerpR and ESR achieve better performance by efficiently utilizing replay memory.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jefersson A Dos Santos
88,https://openreview.net/forum?id=u6jgHVTs4O,CRCE: Coreference-Retention Concept Erasure in Text-to-Image Diffusion Models,"Text-to-Image diffusion models can produce undesirable content that necessitates concept erasure. However, existing methods struggle with under-erasure, leaving residual traces of targeted concepts, or over-erasure, mistakenly eliminating unrelated but visually similar concepts. To address these limitations, we introduce CRCE, a novel concept erasure framework that leverages Large Language Models to identify both semantically related concepts that should be erased alongside the target and distinct concepts that should be preserved. By explicitly modelling coreferential and retained concepts semantically, CRCE enables more precise concept removal, without unintended erasure. Experiments demonstrate that CRCE outperforms existing methods on diverse erasure tasks, including real-world object, person identities, and abstract intellectual property characteristics.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
102,https://openreview.net/forum?id=bubW26EDEG,STAIN: Smooth Tile-Aware Instance Normalisation for Virtual Staining,"We propose STAIN, a method for eliminating tiling artefacts when virtual staining models are applied tile-wise to very high resolution whole slide images (WSIs). Cancer diagnosis depends on examination of tissue samples under a microscope. The samples are naturally transparent, so chemical staining agents are applied to enhance their visibility - a costly and time consuming process. While virtual staining models have been developed to simulate the staining process, they must be applied tile-wise due to the very high resolution of scanned whole slide images. The tiling process introduces artefacts, such as colour and contrast differences between tiles and distorted objects at tile boundaries. To address the tiling artefact problem we combine a pixel-wise instance normalisation layer, with an appropriate padding technique, ensuring smooth colour and contrast transitions between tiles and preserving the structure of objects crossing tile boundaries. The resulting WSI is visually consistent and artefact free. Furthermore, we propose a new method for detecting tiling artefacts using gradient information at the seams between tiles. Experiments on three common virtual staining datasets show that STAIN significantly reduces artefacts compared with existing methods.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Fani Deligianni
113,https://openreview.net/forum?id=kZoKwxhrcL,Prompt-Based Exemplar Super-Compression and Regeneration for Class-Incremental Learning,"Replay-based methods in class-incremental learning (CIL) have attained remarkable success. Despite their effectiveness, the inherent memory restriction results in saving a limited number of exemplars with poor diversity. In this paper, we introduce PESCR, a novel approach that substantially increases the quantity and enhances the diversity of exemplars based on a pre-trained general-purpose diffusion model, without fine-tuning it on target datasets or storing it in the memory buffer. Images are compressed into visual and textual prompts, which are saved instead of the original images, decreasing memory consumption by a factor of 24. In subsequent phases, diverse exemplars are regenerated by the diffusion model. We further propose partial compression and diffusion-based data augmentation to minimize the domain gap between generated exemplars and real images. PESCR significantly improves CIL performance across multiple benchmarks, e.g., 3.2% above the previous state-of-the-art on ImageNet-100. The code is available at https://github.com/KerryDRX/PESCR.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Jefersson A Dos Santos
117,https://openreview.net/forum?id=Zle6UUX5bm,RAPrivacy: a Readable Anonymizer for Privacy Preserving Action Recognition,"The growing awareness and demand for privacy protection have become increasingly prominent in the field of action recognition, which involves processing image sequences that capture human motion. Consequently, ensuring both accuracy and protecting sensitive information presents a significant challenge. Existing methods often face difficulties in balancing privacy preservation with effective action recognition, often resulting in images that are not perceptible to the human eye. To address these, we introduce RAPrivacy, a novel model that leverages adversarial learning in conjunction with style transfer to generate images that maintain privacy while remaining interpretable for human observers in the context of action recognition. For example, such images enable medical personnel to remotely monitor a patient’s physical condition without revealing the patient's entire identity. Empirical evaluations on the VP-UCF101 and VP-HMDB51 datasets demonstrate the effectiveness of RAPrivacy, achieving competitive performance in action recognition while significantly enhancing privacy protection. Notably, to the best of our knowledge, this is the first study in the domain of privacy-preserving action recognition that ensures human eye readability.",5,4,~Amir_Nakib1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Charith Abhayaratne
121,https://openreview.net/forum?id=eBibVicz45,BOTM: Echocardiography Segmentation via Bi-directional Optimal Token Matching,"Existed echocardiography segmentation methods often suffer from anatomical inconsistency challenge caused by shape variation, partial observation and region ambiguity with similar intensity across 2D echocardiographic sequences, resulting in false positive segmentation with anatomical defeated structures in challenging low signal-to-noise ratio conditions. To provide a strong anatomical guarantee across different echocardiographic frames, we propose a novel segmentation framework named __BOTM__ (**B**i-directional **O**ptimal **T**oken **M**atchig) that performs echocardiography segmentation and optimal anatomy transportation simultaneously. Given paired echocardiographic images, BOTM learns to match two sets of discrete image tokens by finding optimal correspondences from a novel anatomical transportation perspective. We further extend the token matching into a bi-directional cross-transport attention proxy to regulate the preserved anatomical consistency within the cardiac cyclic deformation in temporal domain. Extensive experimental results show that BOTM can generate stable and accurate segmentation outcomes (e.g. -1.917 HD on CAMUS2H LV, +1.9% Dice on TED), and provide a better matching interpretation with anatomical consistency guarantee.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Fani Deligianni
122,https://openreview.net/forum?id=kgsknep6MS,Distribution-guided Generative Replay with Semantic Prompts for Class-Incremental Chest X-ray Diagnosis,"Existing class-incremental learning (CIL) methods perform poorly for the diagnosis of medical images. Some CIL approaches require storing exemplars, which raises privacy and storage concerns. Others rely on unconditioned generative replay, compromising discriminative power. To overcome these issues, we propose a new CIL framework for chest x-ray (CXR) diagnosis that combines prompt tuning with distribution-guided generative replay at the feature level. The prompts are initialized with semantically rich embeddings and refined through training. A variational autoencoder captures the feature distribution in latent space, enabling past knowledge retention without storing raw data. To balance stability and plasticity, parts of the network are frozen after the initial phase while others adapt to new classes. In each session, the model learns new classes using real data and replays the synthetic features of old ones to reduce forgetting. A classification module picks the closest class prompt using cosine similarity. We evaluate our method on public CXR datasets. It outperforms prior CIL methods in accuracy and retention. We achieve up to 9% improvement in average accuracy compared to SOTA methods.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Fani Deligianni
